ARO_Accession,CARD_Name,Model_Type,ARO_Categories,Match_Status,ResFinder_Gene_Name,ResFinder_Class,Match_Tier,Match_Confidence,Alternate_ResFinder_Synonyms,Excluded_Candidates_ClassMismatch,N_Pathogens_With_Hit,Max_NCBI_WGS_Prevalence_Pct,Top_Pathogen_By_WGS_Pct,Has_Perfect_Strict_Hit
ARO:3004143,AxyX,protein homolog model,aminoglycoside antibiotic; antibiotic efflux; cephalosporin; fluoroquinolone antibiotic; macrolide antibiotic,no_reliable_match,,,,,,,2,78.57,Achromobacter insolitus,True
ARO:3004144,AxyY,protein homolog model,aminoglycoside antibiotic; antibiotic efflux; cephalosporin; fluoroquinolone antibiotic; macrolide antibiotic,no_reliable_match,,,,,,,2,78.57,Achromobacter insolitus,True
ARO:3004146,cfrC,protein homolog model,antibiotic target alteration; lincosamide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; streptogramin antibiotic,no_reliable_match,,,,,,,2,38.04,Clostridium botulinum,True
ARO:3004185,mecD,protein homolog model,antibiotic target replacement; carbapenem; cephalosporin; cephamycin; monobactam; penam,no_reliable_match,,,,,,,1,12.5,Macrococcus canis,True
ARO:3004189,Bla2,protein homolog model,antibiotic inactivation; carbapenem; cephalosporin; penam,no_reliable_match,,,,,,,3,76.75,Bacillus anthracis,True
ARO:3004239,NPS-1,protein homolog model,antibiotic inactivation; cephalosporin; penam,no_reliable_match,,,,,,,6,5.91,Aeromonas caviae,True
ARO:3004254,vanV gene in vanB cluster,protein homolog model,antibiotic target alteration; glycopeptide antibiotic,no_reliable_match,,,,,,,1,0.0,Enterococcus faecalis,True
ARO:3004289,Vibrio cholerae varG,protein homolog model,antibiotic inactivation; carbapenem,no_reliable_match,,,,,,,4,100.0,Vibrio mimicus,True
ARO:3004290,Escherichia coli ampC beta-lactamase,protein homolog model,antibiotic inactivation; cephalosporin; penam,no_reliable_match,,,,,,,8,83.71,Shigella sonnei,True
ARO:3004292,Laribacter hongkongensis ampC beta-lactamase,protein homolog model,antibiotic inactivation; cephalosporin; penam,no_reliable_match,,,,,,,1,6.25,Laribacter hongkongensis,True
